id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2290402,Studio 2 adults,11437915,Manolis,,Αγίου Νικολάου,35.29907,25.72715,Entire home/apt,40,3,5,2019-06-20,0.14,5,334
2300331,"",11749978,Vasso,,Μινώα Πεδιάδας,35.23848,25.31364,Entire home/apt,150,1,0,,,2,1
2305677,Villa Feggari - (Website hidden by Airbnb),11776809,Panagiotis,,Ιεράπετρας,35.04085,25.97958,Entire home/apt,42,1,2,2016-03-28,0.04,1,362
2306478,The Pearl Suite,11780500,Angeliki,,Ρεθύμνης,35.36573,24.49023,Entire home/apt,30,2,31,2019-06-17,0.53,5,199
2307635,Panorama Appartements,11785660,Janika,,Βιάννου,35.00069,25.3778,Entire home/apt,35,3,71,2019-05-26,1.12,3,277
2313099,"2 bedroom villa 1,5 km to the Sea!!",11812320,Manousos,,Ρεθύμνης,35.36165,24.56083,Entire home/apt,80,1,6,2018-08-16,0.13,6,282
2314271,*Traditional Houses 2 Azogires*,678986,Mihalis,,Καντάνου - Σέλινου,35.27157,23.71944,Entire home/apt,35,3,7,2019-05-10,0.49,6,318
2314272,"4 bedroom villa 1,5 km to the Sea!!",11812320,Manousos,,Ρεθύμνης,35.35951,24.56237,Entire home/apt,120,1,3,2019-06-16,0.20,6,280
2318530,Traditional villa & private pool!,3569625,Yiannis,,Ρεθύμνης,35.38184,24.59605,Entire home/apt,80,4,14,2019-05-07,0.23,15,303
2319127,"Studio 30 meter from seaside, at west Crete",11842999,Nikos,,Πλατανιά,35.53355,23.72414,Entire home/apt,35,3,16,2019-05-08,0.33,4,178
2321638,Private Holiday Villa - Amazing Views & Large Pool,11858617,Giorgos,,Ρεθύμνης,35.34663,24.42425,Entire home/apt,150,4,2,2016-04-07,0.03,1,104
2329281,Villa Elisabeth-Heaven on earth!,11897777,Eliza,,Μυλοποτάμου,35.36428,24.69973,Entire home/apt,130,7,4,2018-10-20,0.20,2,134
